codi,nom,adreca_fisica,cp,poblacio,telefon,correu,altres
1160,Alt Pirineu I Aran,"Carrer Alcalde Josep Rosell, 8",25620,Tremp,973 59 13 91,st_apa.educacio@gencat.cat,
308,Baix Llobregat,"Carrer Laureà Miró, 328-330",08980,Sant Feliu de Llobregat,93 685 94 50,st_baixllobregat.educacio@gencat.cat,
208,Barcelonès,"Passeig de la Zona Franca, 46",08038,Barcelona,934 816 000,st_barcelones.educacio@gencat.cat,Edifici de l'Agència Tributària de Catalunya (2a planta) 
1060,Catalunya Central,"Carretera de Vic, 175-177",08243,Manresa,936 930 590,st_ccentral.educacio@gencat.cat,
117,Girona,"Plaça de Pompeu Fabra, 1",17002,Girona,872 975 000,st_girona.educacio@gencat.cat,Oficina d'Atenció Ciutadana
125,Lleida,Carrer Pica d'Estats 2,25006,Lleida,973 27 99 99,st_lleida.educacio@gencat.cat,
508,Maresme - Vallès Oriental,"Carrer Churruca, 90",08301,Mataró,93 693 18 90,st_mvo.educacio@gencat.cat,Passatge Cabot i Barba
1260,Penedès,"Camí Reial, 13-17 ",43700,El Vendrell,,st_pen.educacio@gencat.cat,Oficines Eina
143,Tarragona,"Carrer Sant Francesc, 7",43003 ,Tarragona,977 251 440,st_tarragona.educacio@gencat.cat,
243,Terres de l'Ebre,"Carrer Providència, 5-9",43500 ,Tortosa,977 448 711,st_teb.educacio@gencat.cat,
408,Vallès Occidental,"Carrer del Marquès de Comillas, 67-69",08202 ,Sabadell,93 748 44 55,st_valles.educacio@gencat.cat,
108,Consorci d'Educació de Barcelona,"Plaça d'Urquinaona, 6",08010 ,Barcelona,93 551 10 00 ,rh_atencioprofessionals.ceb@gencat.cat,Cantonada Carrer de Roger de Llúria
